Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-000029,2017-11-26,2017-11-30,First Class,C-2422,Customer 29,Home Office,United States,Seattle,Illinois,20465,South,P-38425,Furniture,Furnishings,Product 29,286.3,3,0.24,-48.1
ORD-000030,2017-01-19,2017-01-26,Standard Class,C-9596,Customer 30,Corporate,United States,Chicago,Illinois,16338,East,P-98719,Furniture,Tables,Product 30,150.17,2,0.12,46.93
ORD-000031,2018-03-02,2018-03-04,Standard Class,C-2603,Customer 31,Corporate,United States,Miami,Florida,23001,South,P-24253,Furniture,Tables,Product 31,523.69,3,0.09,6.48
ORD-000032,2017-05-30,2017-06-03,Same Day,C-7567,Customer 32,Corporate,United States,Chicago,Illinois,77850,West,P-16174,Technology,Accessories,Product 32,297.87,3,0.22,26.78
ORD-000033,2018-08-15,2018-08-17,Second Class,C-4835,Customer 33,Corporate,United States,New York,Illinois,73402,South,P-54267,Furniture,Tables,Product 33,58.59,1,0.08,2.45
ORD-000034,2017-12-31,2018-01-05,Second Class,C-3507,Customer 34,Corporate,United States,Seattle,Florida,91974,West,P-64580,Technology,Copiers,Product 34,309.17,3,0.0,61.89
ORD-000035,2019-01-18,2019-01-25,Same Day,C-9519,Customer 35,Home Office,United States,Seattle,Florida,12834,Central,P-23549,Office Supplies,Art,Product 35,125.04,1,0.23,25.13
ORD-000036,2017-03-28,2017-03-29,Second Class,C-1194,Customer 36,Corporate,United States,Chicago,Ohio,17109,West,P-36895,Office Supplies,Storage,Product 36,622.8,4,0.06,176.38
ORD-000037,2018-11-15,2018-11-19,Second Class,C-9859,Customer 37,Consumer,United States,Houston,Pennsylvania,26566,South,P-88722,Technology,Accessories,Product 37,380.44,3,0.27,59.27
ORD-000038,2017-02-19,2017-02-23,First Class,C-6669,Customer 38,Corporate,United States,Houston,Illinois,25900,East,P-98139,Office Supplies,Binders,Product 38,575.44,5,0.12,54.59
ORD-000039,2019-03-24,2019-03-30,First Class,C-7773,Customer 39,Consumer,United States,Seattle,Illinois,93017,East,P-77644,Furniture,Chairs,Product 39,213.96,2,0.28,17.01
ORD-000040,2017-11-13,2017-11-16,Standard Class,C-9220,Customer 40,Home Office,United States,Columbus,Florida,27922,South,P-52555,Office Supplies,Binders,Product 40,199.61,4,0.1,9.72
ORD-000041,2017-01-20,2017-01-23,Second Class,C-2734,Customer 41,Home Office,United States,Los Angeles,Ohio,64128,West,P-65029,Furniture,Tables,Product 41,315.98,3,0.06,111.69
ORD-000042,2017-10-27,2017-10-29,Same Day,C-9172,Customer 42,Corporate,United States,Columbus,Florida,54523,South,P-27158,Office Supplies,Binders,Product 42,210.26,2,0.0,21.3
ORD-000043,2018-12-17,2018-12-22,Second Class,C-3946,Customer 43,Consumer,United States,New York,California,82950,East,P-58106,Technology,Machines,Product 43,458.59,3,0.12,23.17
ORD-000044,2017-11-15,2017-11-19,Second Class,C-7194,Customer 44,Corporate,United States,Houston,Washington,77321,East,P-58279,Office Supplies,Storage,Product 44,11.27,3,0.25,0.72
ORD-000045,2018-08-17,2018-08-21,Same Day,C-8024,Customer 45,Consumer,United States,Los Angeles,Texas,64748,Central,P-33182,Technology,Copiers,Product 45,239.04,4,0.29,-30.92
ORD-000046,2019-11-04,2019-11-07,Second Class,C-5495,Customer 46,Home Office,United States,Chicago,Pennsylvania,93404,South,P-33197,Office Supplies,Storage,Product 46,374.62,4,0.27,34.72
ORD-000047,2019-07-21,2019-07-29,Same Day,C-5313,Customer 47,Corporate,United States,Chicago,California,93749,East,P-30908,Technology,Copiers,Product 47,80.07,2,0.08,18.61
ORD-000048,2017-05-02,2017-05-07,First Class,C-2783,Customer 48,Corporate,United States,New York,Illinois,87209,East,P-12659,Technology,Accessories,Product 48,121.34,4,0.17,31.6
ORD-000049,2019-10-25,2019-11-02,Standard Class,C-6468,Customer 49,Corporate,United States,Miami,Texas,41260,Central,P-76139,Office Supplies,Storage,Product 49,98.61,1,0.26,4.43
ORD-000050,2018-05-24,2018-05-29,First Class,C-5139,Customer 50,Corporate,United States,Los Angeles,California,71289,South,P-86898,Technology,Machines,Product 50,477.41,4,0.14,44.57
ORD-000051,2017-01-15,2017-01-16,Standard Class,C-6537,Customer 51,Consumer,United States,Columbus,California,68207,Central,P-37775,Office Supplies,Art,Product 51,118.64,2,0.0,41.47
ORD-000052,2017-08-27,2017-09-03,Second Class,C-1130,Customer 52,Consumer,United States,New York,Washington,25514,Central,P-53739,Office Supplies,Storage,Product 52,153.13,1,0.09,3.25
ORD-000053,2019-06-26,2019-07-03,Same Day,C-4810,Customer 53,Home Office,United States,Chicago,Texas,58306,East,P-78415,Office Supplies,Paper,Product 53,113.81,1,0.2,25.52
ORD-000054,2019-05-01,2019-05-04,Standard Class,C-9134,Customer 54,Home Office,United States,Chicago,California,40936,East,P-96441,Technology,Accessories,Product 54,282.09,3,0.17,-10.02
ORD-000055,2017-10-05,2017-10-09,Second Class,C-4082,Customer 55,Corporate,United States,Houston,Texas,18841,Central,P-86061,Technology,Phones,Product 55,429.14,5,0.19,0.64
ORD-000056,2017-07-10,2017-07-18,Same Day,C-2257,Customer 56,Home Office,United States,Chicago,Texas,79277,West,P-63342,Technology,Copiers,Product 56,7.81,2,0.22,0.28
ORD-000057,2018-11-15,2018-11-23,First Class,C-8788,Customer 57,Home Office,United States,Houston,Washington,41229,Central,P-52197,Furniture,Chairs,Product 57,775.05,4,0.21,99.04
ORD-000058,2018-05-15,2018-05-20,Second Class,C-9026,Customer 58,Home Office,United States,Houston,Pennsylvania,11816,South,P-80858,Furniture,Bookcases,Product 58,807.31,5,0.1,187.68
ORD-000059,2019-04-17,2019-04-25,Second Class,C-8430,Customer 59,Consumer,United States,Miami,Pennsylvania,85033,South,P-77380,Furniture,Furnishings,Product 59,287.76,2,0.08,96.51
ORD-000060,2017-01-04,2017-01-06,First Class,C-1818,Customer 60,Corporate,United States,Miami,Florida,63416,South,P-25687,Technology,Copiers,Product 60,180.0,2,0.19,-14.03
ORD-000061,2019-07-16,2019-07-22,Same Day,C-5313,Customer 61,Consumer,United States,Philadelphia,Pennsylvania,28972,South,P-33946,Furniture,Bookcases,Product 61,328.2,2,0.05,61.74
ORD-000062,2018-09-29,2018-10-07,Standard Class,C-2919,Customer 62,Consumer,United States,Columbus,Illinois,47003,East,P-75859,Technology,Machines,Product 62,103.88,2,0.21,0.72
ORD-000063,2019-10-27,2019-11-02,Second Class,C-2023,Customer 63,Corporate,United States,New York,New York,70992,West,P-29409,Furniture,Tables,Product 63,150.99,3,0.14,11.42
ORD-000064,2017-02-14,2017-02-22,Second Class,C-1080,Customer 64,Home Office,United States,Columbus,Texas,65845,East,P-43678,Office Supplies,Storage,Product 64,203.77,2,0.0,23.22
ORD-000065,2018-11-26,2018-11-28,Second Class,C-3197,Customer 65,Consumer,United States,Miami,Illinois,19966,West,P-40208,Office Supplies,Paper,Product 65,419.1,2,0.07,112.68
ORD-000066,2017-04-14,2017-04-16,First Class,C-7729,Customer 66,Consumer,United States,Los Angeles,Ohio,79316,Central,P-95064,Office Supplies,Storage,Product 66,441.92,5,0.07,140.66
ORD-000067,2019-07-29,2019-08-05,Same Day,C-1091,Customer 67,Consumer,United States,Chicago,Washington,30265,Central,P-25303,Furniture,Furnishings,Product 67,360.84,3,0.11,86.08
ORD-000068,2019-07-14,2019-07-15,Same Day,C-2947,Customer 68,Home Office,United States,Seattle,Washington,68110,West,P-39386,Office Supplies,Binders,Product 68,136.12,3,0.05,14.14
ORD-000069,2018-06-29,2018-06-30,Same Day,C-2111,Customer 69,Corporate,United States,Chicago,Illinois,28846,East,P-77693,Office Supplies,Paper,Product 69,314.37,2,0.15,53.98
ORD-000070,2017-06-30,2017-07-02,Standard Class,C-1499,Customer 70,Consumer,United States,Philadelphia,Washington,76147,South,P-67714,Furniture,Chairs,Product 70,203.24,4,0.22,34.67
ORD-000071,2017-09-13,2017-09-16,Same Day,C-7873,Customer 71,Corporate,United States,New York,New York,96585,West,P-67276,Furniture,Chairs,Product 71,261.54,4,0.23,-18.95
ORD-000072,2018-09-16,2018-09-21,First Class,C-7379,Customer 72,Corporate,United States,Chicago,Pennsylvania,55141,West,P-10300,Technology,Copiers,Product 72,438.1,4,0.01,170.78
ORD-000073,2017-06-25,2017-07-01,Same Day,C-2334,Customer 73,Corporate,United States,Seattle,Illinois,69309,Central,P-39899,Technology,Phones,Product 73,127.22,4,0.0,42.62
ORD-000074,2018-09-02,2018-09-09,Same Day,C-1915,Customer 74,Corporate,United States,New York,Texas,65699,South,P-36766,Office Supplies,Binders,Product 74,159.82,3,0.22,34.51
ORD-000075,2018-06-29,2018-07-06,Standard Class,C-3705,Customer 75,Consumer,United States,Miami,Florida,88904,South,P-47726,Office Supplies,Paper,Product 75,372.61,3,0.0,40.2
ORD-000076,2019-05-13,2019-05-16,Same Day,C-7987,Customer 76,Corporate,United States,Houston,Texas,27954,East,P-80858,Technology,Accessories,Product 76,404.62,4,0.02,47.21
ORD-000077,2019-03-27,2019-03-28,Same Day,C-4768,Customer 77,Home Office,United States,Houston,California,78442,Central,P-46530,Furniture,Furnishings,Product 77,836.04,5,0.09,207.55
ORD-000078,2019-11-22,2019-11-25,Second Class,C-5570,Customer 78,Consumer,United States,Houston,Pennsylvania,89368,East,P-90561,Furniture,Furnishings,Product 78,50.09,2,0.22,5.14
ORD-000079,2018-05-07,2018-05-09,Same Day,C-4148,Customer 79,Corporate,United States,Chicago,Texas,19581,South,P-69757,Furniture,Furnishings,Product 79,246.87,4,0.26,-43.16
ORD-000080,2018-03-24,2018-03-29,Standard Class,C-1888,Customer 80,Corporate,United States,Chicago,Washington,21600,East,P-37108,Office Supplies,Binders,Product 80,460.16,3,0.03,141.24
ORD-000081,2019-01-16,2019-01-22,Second Class,C-6874,Customer 81,Home Office,United States,Miami,California,51428,Central,P-95160,Furniture,Tables,Product 81,956.34,5,0.0,157.28
ORD-000082,2017-10-15,2017-10-23,Standard Class,C-1897,Customer 82,Home Office,United States,Chicago,Ohio,92880,East,P-69564,Technology,Machines,Product 82,779.25,5,0.18,188.88
ORD-000083,2017-05-18,2017-05-25,First Class,C-8147,Customer 83,Consumer,United States,Chicago,New York,75141,Central,P-34329,Furniture,Bookcases,Product 83,258.14,2,0.14,31.92
ORD-000084,2018-01-15,2018-01-23,Standard Class,C-9338,Customer 84,Consumer,United States,Philadelphia,Illinois,92324,Central,P-89395,Technology,Accessories,Product 84,283.66,2,0.0,112.3
ORD-000085,2019-11-30,2019-12-03,Same Day,C-9515,Customer 85,Home Office,United States,Philadelphia,Washington,96904,South,P-32591,Technology,Copiers,Product 85,147.2,1,0.13,5.48
ORD-000086,2019-12-01,2019-12-09,First Class,C-6728,Customer 86,Consumer,United States,Philadelphia,Pennsylvania,87556,Central,P-51097,Technology,Copiers,Product 86,731.34,5,0.33,61.43
ORD-000087,2018-06-03,2018-06-09,First Class,C-8072,Customer 87,Consumer,United States,Los Angeles,Illinois,29519,South,P-91472,Furniture,Tables,Product 87,7.4,2,0.26,-0.24
ORD-000088,2019-06-17,2019-06-24,Second Class,C-8238,Customer 88,Consumer,United States,Los Angeles,Texas,51555,South,P-66841,Technology,Copiers,Product 88,203.31,2,0.15,45.56
ORD-000089,2019-06-24,2019-07-01,Second Class,C-2474,Customer 89,Home Office,United States,Columbus,Washington,15444,Central,P-10703,Technology,Phones,Product 89,17.42,1,0.07,4.17
ORD-000090,2017-02-23,2017-02-26,Second Class,C-7629,Customer 90,Corporate,United States,Columbus,Florida,63289,West,P-97973,Technology,Copiers,Product 90,50.6,3,0.3,-4.47
ORD-000091,2019-03-09,2019-03-13,First Class,C-9653,Customer 91,Corporate,United States,Chicago,Ohio,67665,East,P-36433,Technology,Accessories,Product 91,25.0,5,0.0,3.85
ORD-000092,2017-02-05,2017-02-13,Second Class,C-5813,Customer 92,Consumer,United States,Philadelphia,Pennsylvania,60257,East,P-91045,Technology,Machines,Product 92,292.28,4,0.18,18.4
ORD-000093,2019-05-05,2019-05-11,First Class,C-1362,Customer 93,Home Office,United States,Houston,Ohio,37208,Central,P-76379,Office Supplies,Binders,Product 93,628.15,3,0.19,-30.86
ORD-000094,2017-04-17,2017-04-22,Standard Class,C-6592,Customer 94,Consumer,United States,Columbus,Washington,95642,East,P-14683,Furniture,Furnishings,Product 94,275.5,3,0.2,41.89
ORD-000095,2018-02-24,2018-03-02,Same Day,C-8946,Customer 95,Home Office,United States,Miami,Ohio,76652,East,P-92053,Furniture,Chairs,Product 95,144.98,2,0.26,-19.01
ORD-000096,2019-11-24,2019-11-27,Standard Class,C-3775,Customer 96,Consumer,United States,Miami,Illinois,77837,East,P-66911,Office Supplies,Paper,Product 96,93.56,2,0.21,16.92
ORD-000097,2017-05-01,2017-05-07,Second Class,C-2598,Customer 97,Consumer,United States,Seattle,Texas,24244,West,P-22445,Technology,Copiers,Product 97,469.97,4,0.0,65.89
ORD-000098,2017-03-14,2017-03-21,First Class,C-3501,Customer 98,Corporate,United States,Houston,Pennsylvania,65508,East,P-31153,Office Supplies,Paper,Product 98,315.7,2,0.19,-9.74
ORD-000099,2018-05-14,2018-05-19,Second Class,C-7805,Customer 99,Home Office,United States,New York,Illinois,39446,Central,P-19372,Office Supplies,Art,Product 99,54.85,2,0.18,10.48
ORD-000100,2018-10-12,2018-10-13,Second Class,C-6922,Customer 100,Consumer,United States,Seattle,California,25169,West,P-92873,Furniture,Bookcases,Product 100,185.77,2,0.17,22.26
ORD-000101,2017-12-29,2018-01-05,Standard Class,C-9333,Customer 101,Consumer,United States,Los Angeles,Texas,70572,East,P-41780,Furniture,Tables,Product 101,256.18,2,0.13,62.92
ORD-000102,2018-02-04,2018-02-11,Standard Class,C-6087,Customer 102,Corporate,United States,New York,Washington,63737,East,P-92256,Technology,Machines,Product 102,344.79,3,0.26,62.27
ORD-000103,2018-03-13,2018-03-18,Standard Class,C-3380,Customer 103,Corporate,United States,Los Angeles,Ohio,23038,East,P-38501,Technology,Accessories,Product 103,159.98,3,0.08,38.07
ORD-000104,2017-07-25,2017-08-01,Standard Class,C-8651,Customer 104,Corporate,United States,Philadelphia,Washington,58838,Central,P-59814,Office Supplies,Storage,Product 104,158.54,2,0.05,58.38
ORD-000105,2019-12-22,2019-12-29,First Class,C-1998,Customer 105,Consumer,United States,New York,Texas,68577,Central,P-14297,Technology,Phones,Product 105,545.92,5,0.14,48.2
ORD-000106,2017-10-29,2017-10-30,Second Class,C-8806,Customer 106,Home Office,United States,Los Angeles,Ohio,92744,West,P-99632,Furniture,Bookcases,Product 106,56.5,1,0.1,17.39
ORD-000107,2017-12-05,2017-12-08,Standard Class,C-1513,Customer 107,Home Office,United States,New York,Illinois,36905,Central,P-60535,Office Supplies,Binders,Product 107,524.92,4,0.15,147.31
ORD-000108,2017-09-18,2017-09-22,First Class,C-9243,Customer 108,Consumer,United States,Miami,Ohio,26668,West,P-11180,Furniture,Bookcases,Product 108,363.94,3,0.13,44.67
ORD-000109,2019-05-07,2019-05-09,Second Class,C-1057,Customer 109,Consumer,United States,Houston,Texas,38827,South,P-16849,Furniture,Chairs,Product 109,185.94,1,0.2,29.65
ORD-000110,2019-02-18,2019-02-22,Second Class,C-1111,Customer 110,Corporate,United States,Los Angeles,Florida,21075,Central,P-26757,Technology,Accessories,Product 110,291.49,4,0.13,27.52
ORD-000111,2017-07-01,2017-07-09,Standard Class,C-8261,Customer 111,Home Office,United States,Los Angeles,Washington,48323,Central,P-60860,Office Supplies,Binders,Product 111,307.97,2,0.11,94.26
ORD-000112,2019-08-18,2019-08-25,Second Class,C-1523,Customer 112,Home Office,United States,Columbus,New York,19504,West,P-52081,Office Supplies,Art,Product 112,31.67,1,0.11,5.45
ORD-000113,2018-10-12,2018-10-20,Standard Class,C-6650,Customer 113,Home Office,United States,Seattle,Ohio,99541,South,P-93947,Technology,Copiers,Product 113,83.45,1,0.14,16.92
ORD-000114,2018-08-24,2018-09-01,Standard Class,C-8259,Customer 114,Home Office,United States,Los Angeles,Florida,59661,East,P-87026,Furniture,Tables,Product 114,134.57,5,0.13,26.16
ORD-000115,2018-01-15,2018-01-22,Second Class,C-6217,Customer 115,Corporate,United States,Los Angeles,Washington,10850,South,P-87436,Office Supplies,Binders,Product 115,112.01,1,0.06,24.45
ORD-000116,2017-04-05,2017-04-07,Second Class,C-9293,Customer 116,Corporate,United States,Houston,Ohio,88410,Central,P-93081,Office Supplies,Paper,Product 116,298.03,2,0.13,76.5
ORD-000117,2017-09-23,2017-09-24,Second Class,C-1946,Customer 117,Home Office,United States,Chicago,Washington,23674,Central,P-56045,Furniture,Tables,Product 117,1003.92,5,0.0,303.72
ORD-000118,2017-02-07,2017-02-11,First Class,C-4005,Customer 118,Consumer,United States,Chicago,Florida,47962,East,P-97046,Office Supplies,Paper,Product 118,432.97,5,0.19,0.54
ORD-000119,2018-03-06,2018-03-13,Standard Class,C-7261,Customer 119,Home Office,United States,Seattle,Texas,91326,Central,P-84341,Furniture,Tables,Product 119,110.06,1,0.12,10.81
ORD-000120,2018-02-09,2018-02-15,Standard Class,C-4280,Customer 120,Corporate,United States,Philadelphia,Washington,83271,Central,P-38788,Office Supplies,Storage,Product 120,17.39,1,0.11,2.69
ORD-000121,2019-10-20,2019-10-22,Second Class,C-6426,Customer 121,Corporate,United States,Columbus,Florida,22668,South,P-26157,Furniture,Tables,Product 121,165.5,2,0.16,46.64
ORD-000122,2017-07-07,2017-07-09,Second Class,C-3255,Customer 122,Consumer,United States,Chicago,Ohio,67622,Central,P-10463,Technology,Machines,Product 122,286.06,2,0.06,87.96
ORD-000123,2018-09-25,2018-09-28,Same Day,C-2371,Customer 123,Home Office,United States,Chicago,Illinois,22088,South,P-57393,Office Supplies,Paper,Product 123,500.99,5,0.05,71.36
ORD-000124,2018-11-01,2018-11-08,Same Day,C-9079,Customer 124,Home Office,United States,Columbus,Illinois,23594,South,P-67452,Furniture,Furnishings,Product 124,606.37,4,0.0,148.68
ORD-000125,2018-07-21,2018-07-22,Standard Class,C-9916,Customer 125,Consumer,United States,Seattle,Ohio,71343,Central,P-34294,Technology,Machines,Product 125,90.95,2,0.13,10.17
ORD-000126,2018-07-11,2018-07-18,Standard Class,C-9245,Customer 126,Home Office,United States,Los Angeles,Ohio,44860,West,P-71417,Furniture,Tables,Product 126,48.5,3,0.12,15.48
ORD-000127,2019-05-30,2019-06-07,First Class,C-6469,Customer 127,Home Office,United States,Seattle,Texas,20979,West,P-88910,Furniture,Chairs,Product 127,191.83,2,0.09,40.3
ORD-000128,2019-09-09,2019-09-14,Second Class,C-8858,Customer 128,Consumer,United States,Seattle,Florida,92203,Central,P-76767,Office Supplies,Binders,Product 128,369.76,2,0.26,49.41
ORD-000129,2018-07-06,2018-07-09,First Class,C-4699,Customer 129,Corporate,United States,Columbus,Ohio,56924,East,P-19118,Office Supplies,Storage,Product 129,463.43,4,0.0,100.2
ORD-000130,2018-01-30,2018-02-07,First Class,C-8341,Customer 130,Home Office,United States,Miami,California,72519,South,P-88124,Office Supplies,Paper,Product 130,607.48,5,0.25,45.71
ORD-000131,2017-05-04,2017-05-09,Standard Class,C-7433,Customer 131,Consumer,United States,Miami,New York,73126,South,P-98045,Technology,Copiers,Product 131,286.37,4,0.03,67.98
ORD-000132,2018-03-03,2018-03-07,Same Day,C-3543,Customer 132,Home Office,United States,Miami,Washington,22744,Central,P-25515,Furniture,Chairs,Product 132,275.04,5,0.15,6.4
ORD-000133,2017-05-24,2017-05-25,Same Day,C-3888,Customer 133,Corporate,United States,Chicago,Illinois,98586,Central,P-93851,Office Supplies,Storage,Product 133,5.0,1,0.0,1.25
ORD-000134,2018-05-28,2018-06-04,Standard Class,C-4685,Customer 134,Home Office,United States,Miami,New York,79382,Central,P-95241,Furniture,Furnishings,Product 134,96.89,1,0.07,33.75
ORD-000135,2019-02-25,2019-03-03,Second Class,C-6069,Customer 135,Home Office,United States,New York,Washington,56036,Central,P-58008,Technology,Copiers,Product 135,343.79,2,0.01,108.9
ORD-000136,2019-08-01,2019-08-08,First Class,C-7658,Customer 136,Corporate,United States,Los Angeles,New York,57521,West,P-67508,Office Supplies,Paper,Product 136,192.75,3,0.11,-1.56
ORD-000137,2018-05-26,2018-05-30,Same Day,C-7322,Customer 137,Home Office,United States,Seattle,California,29787,West,P-12957,Furniture,Furnishings,Product 137,463.93,5,0.15,126.67
ORD-000138,2019-06-08,2019-06-12,Second Class,C-7545,Customer 138,Consumer,United States,Chicago,Pennsylvania,78824,West,P-52843,Technology,Phones,Product 138,481.79,3,0.2,81.08
ORD-000139,2017-08-17,2017-08-25,Standard Class,C-5780,Customer 139,Consumer,United States,New York,California,94385,East,P-62819,Technology,Machines,Product 139,651.99,4,0.15,11.42
ORD-000140,2018-07-03,2018-07-10,First Class,C-5754,Customer 140,Corporate,United States,Philadelphia,Washington,38972,South,P-78614,Furniture,Chairs,Product 140,204.2,2,0.25,-23.02
ORD-000141,2019-11-24,2019-11-26,Second Class,C-3088,Customer 141,Consumer,United States,New York,Ohio,47767,Central,P-31687,Office Supplies,Binders,Product 141,267.53,2,0.14,7.62
ORD-000142,2018-02-23,2018-02-28,Same Day,C-5183,Customer 142,Corporate,United States,Los Angeles,Texas,50930,South,P-68398,Technology,Phones,Product 142,159.57,1,0.26,13.06
ORD-000143,2017-10-23,2017-10-24,Same Day,C-7826,Customer 143,Corporate,United States,Columbus,Pennsylvania,34283,Central,P-94347,Technology,Machines,Product 143,378.92,5,0.14,14.04
ORD-000144,2017-01-03,2017-01-08,Second Class,C-4207,Customer 144,Home Office,United States,Seattle,Florida,65746,Central,P-11465,Office Supplies,Binders,Product 144,96.93,5,0.11,25.96
ORD-000145,2019-05-07,2019-05-12,Same Day,C-7611,Customer 145,Corporate,United States,New York,Pennsylvania,82777,West,P-89217,Office Supplies,Binders,Product 145,371.3,4,0.2,27.78
ORD-000146,2017-10-25,2017-10-30,First Class,C-5773,Customer 146,Consumer,United States,Los Angeles,Florida,18763,East,P-18303,Furniture,Chairs,Product 146,277.25,2,0.0,77.72
